##NAMES=Calcite
##RRUFFID=R040070
##IDEAL CHEMISTRY=Ca(CO_3_)
##LOCALITY=Pryor Mountain, Big Horn County, Montana, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Orange scalenohedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R040070
##MEASURED CHEMISTRY=(Ca_0.99_Mg_0.01_)CO_3_
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 4.9869 b: 4.9869 c: 17.0496 alpha: 90 beta: 90 gamma: 120 volume: 367.21 crystal system: hexagonal
##FILETYPE=Processed Powder Diffraction Profile

5.000, 0.000
5.010, 2.397
5.020, 3.130
5.030, 14.913
5.040, 5.072
5.050, 14.673
5.060, 8.691
5.070, 8.221
5.080, 0.317
5.090, 7.619
5.100, 5.891
5.110, 0.115
5.120, 5.056
5.130, 10.084
5.140, 9.107
5.150, 17.124
5.160, 0.138
5.170, 4.187
5.180, 15.947
5.190, 12.957
5.200, 12.011
5.210, 13.014
5.220, 9.015
5.230, 17.018
5.240, 1.976
5.250, 7.027
5.260, 10.028
5.270, 5.028
5.280, 23.026
5.290, 5.022
5.300, 9.019
5.310, 16.014
5.320, 12.010
5.330, 3.067
5.340, 18.061
5.350, 0.945
5.360, 2.813
5.370, 7.786
5.380, 7.893
5.390, 12.866
5.400, 2.840
5.410, 13.815
5.420, 16.796
5.430, 13.773
5.440, 15.751
5.450, 10.731
5.460, 12.957
5.470, 5.933
5.480, 10.911
5.490, 5.889
5.500, 17.868
5.510, 13.849
5.520, 7.830
5.530, 10.813
5.540, 8.799
5.550, 9.786
5.560, 8.773
5.570, 13.761
5.580, 8.751
5.590, 14.744
5.600, 11.737
5.610, 13.732
5.620, 9.727
5.630, 10.725
5.640, 10.724
5.650, 0.724
5.660, 13.725
5.670, 12.726
5.680, 3.727
5.690, 5.728
5.700, 3.729
5.710, 6.731
5.720, 3.268
5.730, 6.732
5.740, 11.732
5.750, 0.267
5.760, 3.734
5.770, 6.735
5.780, 4.736
5.790, 16.737
5.800, 7.740
5.810, 5.744
5.820, 3.748
5.830, 2.752
5.840, 5.756
5.850, 15.760
5.860, 12.765
5.870, 8.770
5.880, 3.775
5.890, 11.780
5.900, 7.786
5.910, 1.208
5.920, 1.798
5.930, 13.804
5.940, 15.810
5.950, 17.817
5.960, 14.823
5.970, 5.827
5.980, 19.832
5.990, 5.836
6.000, 12.841
6.010, 5.848
6.020, 6.854
6.030, 19.861
6.040, 15.868
6.050, 9.875
6.060, 8.030
6.070, 22.035
6.080, 18.061
6.090, 17.067
6.100, 22.074
6.110, 13.081
6.120, 17.087
6.130, 20.099
6.140, 22.107
6.150, 25.161
6.160, 14.172
6.170, 19.283
6.180, 2.291
6.190, 19.299
6.200, 18.350
6.210, 13.401
6.220, 35.449
6.230, 18.494
6.240, 18.535
6.250, 21.573
6.260, 15.609
6.270, 25.719
6.280, 23.733
6.290, 13.773
6.300, 31.800
6.310, 21.812
6.320, 15.830
6.330, 30.847
6.340, 36.865
6.350, 22.883
6.360, 11.852
6.370, 29.869
6.380, 36.883
6.390, 28.899
6.400, 27.914
6.410, 22.929
6.420, 29.944
6.430, 26.964
6.440, 21.796
6.450, 18.812
6.460, 30.828
6.470, 22.844
6.480, 26.860
6.490, 25.880
6.500, 21.896
6.510, 24.913
6.520, 27.929
6.530, 21.945
6.540, 39.961
6.550, 18.873
6.560, 21.917
6.570, 21.931
6.580, 17.945
6.590, 16.119
6.600, 36.125
6.610, 14.139
6.620, 11.154
6.630, 24.168
6.640, 27.183
6.650, 19.198
6.660, 29.212
6.670, 17.227
6.680, 20.241
6.690, 24.256
6.700, 39.271
6.710, 21.286
6.720, 27.302
6.730, 19.319
6.740, 17.335
6.750, 11.351
6.760, 18.367
6.770, 26.384
6.780, 18.400
6.790, 14.417
6.800, 12.433
6.810, 33.450
6.820, 18.468
6.830, 21.485
6.840, 24.503
6.850, 22.503
6.860, 31.521
6.870, 16.538
6.880, 26.556
6.890, 18.578
6.900, 13.596
6.910, 19.614
6.920, 19.399
6.930, 16.418
6.940, 15.436
6.950, 10.412
6.960, 11.430
6.970, 13.453
6.980, 13.471
6.990, 22.490
7.000, 10.509
7.010, 13.580
7.020, 20.650
7.030, 21.667
7.040, 9.686
7.050, 14.705
7.060, 11.725
7.070, 16.744
7.080, 9.764
7.090, 12.783
7.100, 6.803
7.110, 7.731
7.120, 2.253
7.130, 7.766
7.140, 3.785
7.150, 0.195
7.160, 0.176
7.170, 9.844
7.180, 1.901
7.190, 8.921
7.200, 4.941
7.210, 8.961
7.220, 11.981
7.230, 6.001
7.240, 3.021
7.250, 13.041
7.260, 0.061
7.270, 7.080
7.280, 7.102
7.290, 7.121
7.300, 0.859
7.310, 7.161
7.320, 0.180
7.330, 1.712
7.340, 14.309
7.350, 6.328
7.360, 9.347
7.370, 3.365
7.380, 6.470
7.390, 9.488
7.400, 2.507
7.410, 1.526
7.420, 9.544
