## Sumup : test_f[4, 5, 6, 7].dat : 4 files
# # I(2Theta) vs. 2Theta :  IsMon = [9756629, 9757176, 9829431, 9840326, 9846266, 9840825, 9844477, 9841924, 9840945, 9844077, 9844991, 9836086, 9840324, 9841353, 9840286] IsPos = [-0.35020000000000001, -0.69240000000000002, -1.0490999999999999, -1.3999999999999999, -1.7497, -10.3489, -10.6996, -11.0495, -11.4001, -11.75, -20.348600000000001, -20.6997, -21.049700000000001, -21.400400000000001, -21.749700000000001] Positions = [-0.34999999999999998, -0.69999999999999996, -1.05, -1.3999999999999999, -1.75, -10.35, -10.699999999999999, -11.050000000000001, -11.4, -11.75, -20.350000000000001, -20.699999999999999, -21.050000000000001, -21.399999999999999, -21.75] Mode = auto AquTime = 10.000000 Bad channels = /beamlines/bl04/controls/mythen/cal/bad_20161108_13KeV.chans Ang conv = /beamlines/bl04/controls/mythen/cal/angconv_20150421_pk3.off Binsize = 0.0060
#test_fsum.dat : imon 3.92601e+07 sec 0 i14 0 iring 0 ixbfe_tot 0 idcm2 0 ixbo_tot 0 ixbo_timer 0 ixbhp_tot 0 ixbpd_tot 0 Monitor 0 
#     10413
 3.7600000E-01  1.1773914E+02  2.1135255E+01
 3.8200000E-01  1.0690509E+02  2.0100438E+01
 3.8800000E-01  1.1490122E+02  2.0747802E+01
 3.9400000E-01  1.0946989E+02  2.0308312E+01
 4.0000000E-01  1.0263613E+02  1.9884580E+01
 4.0600000E-01  1.4309702E+02  2.3373222E+01
 4.1200000E-01  1.2132002E+02  2.1427619E+01
 4.1800000E-01  1.0474608E+02  1.9993713E+01
 4.2400000E-01  1.0743218E+02  2.0148798E+01
 4.3000000E-01  1.1473058E+02  2.0944138E+01
 4.3600000E-01  1.0469406E+02  1.9776570E+01
 4.4200000E-01  1.1293316E+02  2.0673430E+01
 4.4800000E-01  1.1456339E+02  2.0623928E+01
 4.5400000E-01  1.1975940E+02  2.1330513E+01
 4.6000000E-01  1.0207069E+02  1.9443637E+01
 4.6600000E-01  1.2222048E+02  2.1473236E+01
 4.7200000E-01  1.2174792E+02  2.1306103E+01
 4.7800000E-01  1.1735894E+02  2.0904780E+01
 4.8400000E-01  1.1117955E+02  2.0578077E+01
 4.9000000E-01  1.1537505E+02  2.0982099E+01
 4.9600000E-01  1.1776860E+02  2.0964162E+01
 5.0200000E-01  1.0987424E+02  2.0338194E+01
 5.0800000E-01  1.1840564E+02  2.1111295E+01
 5.1400000E-01  1.2618183E+02  2.1811545E+01
 5.2000000E-01  1.2341177E+02  2.1541379E+01
 5.2600000E-01  1.1902814E+02  2.1067130E+01
 5.3200000E-01  1.2973843E+02  2.2201697E+01
 5.3800000E-01  1.2995969E+02  2.2064693E+01
 5.4400000E-01  1.2289492E+02  2.1455790E+01
 5.5000000E-01  1.3578878E+02  2.2696387E+01
 5.5600000E-01  1.2456453E+02  2.1744269E+01
 5.6200000E-01  1.0332812E+02  1.9666673E+01
 5.6800000E-01  1.1121675E+02  2.0318564E+01
 5.7400000E-01  1.2806445E+02  2.1993351E+01
 5.8000000E-01  1.1008598E+02  2.0404564E+01
 5.8600000E-01  1.2886886E+02  2.2053662E+01
 5.9200000E-01  1.2779713E+02  2.1685694E+01
 5.9800000E-01  1.2165389E+02  2.1268502E+01
 6.0400000E-01  1.3861505E+02  2.2969967E+01
 6.1000000E-01  1.4265567E+02  2.3077372E+01
 6.1600000E-01  1.2349550E+02  2.1499753E+01
 6.2200000E-01  1.2660929E+02  2.1747350E+01
 6.2800000E-01  1.5435971E+02  2.3948389E+01
 6.3400000E-01  2.3326453E+02  2.9673261E+01
 6.4000000E-01  2.9289744E+02  3.3292799E+01
 6.4600000E-01  3.2058913E+02  3.4672621E+01
 6.5200000E-01  3.6556183E+02  3.7073681E+01
 6.5800000E-01  3.3115777E+02  3.5163355E+01
 6.6400000E-01  3.4282216E+02  3.6131827E+01
 6.7000000E-01  3.8222992E+02  3.7760084E+01
 6.7600000E-01  4.0019444E+02  3.8982079E+01
 6.8200000E-01  4.7941701E+02  4.2423290E+01
 6.8800000E-01  8.1790165E+02  5.5797032E+01
 6.9400000E-01  1.3572307E+03  7.1251097E+01
 7.0000000E-01  3.4196573E+03  1.1352003E+02
 7.0600000E-01  5.9384134E+03  1.4999358E+02
 7.1200000E-01  7.5378495E+03  1.6996414E+02
 7.1800000E-01  9.4540984E+03  1.9016152E+02
 7.2400000E-01  1.2406101E+04  2.1694797E+02
 7.3000000E-01  1.4224200E+04  2.3291584E+02
 7.3600000E-01  1.6079557E+04  2.4725678E+02
 7.4200000E-01  1.7581877E+04  2.5868623E+02
 7.4800000E-01  1.8520690E+04  2.6524088E+02
 7.5400000E-01  1.9684665E+04  2.7280251E+02
 7.6000000E-01  2.0648251E+04  2.7983875E+02
 7.6600000E-01  2.1568256E+04  2.8631391E+02
 7.7200000E-01  2.3203193E+04  2.9808635E+02
 7.7800000E-01  2.4277213E+04  3.0396306E+02
 7.8400000E-01  2.5506700E+04  3.1094542E+02
 7.9000000E-01  2.6591319E+04  3.1729309E+02
 7.9600000E-01  2.7255027E+04  3.2278847E+02
 8.0200000E-01  2.8215976E+04  3.2728441E+02
 8.0800000E-01  2.9225858E+04  3.3296998E+02
 8.1400000E-01  3.0838901E+04  3.4116939E+02
 8.2000000E-01  3.1545426E+04  3.4709121E+02
 8.2600000E-01  3.2875478E+04  3.5394935E+02
 8.3200000E-01  3.3158816E+04  3.5606416E+02
 8.3800000E-01  3.3942759E+04  3.5818195E+02
 8.4400000E-01  3.4820504E+04  3.6403322E+02
 8.5000000E-01  3.6256601E+04  3.7027917E+02
 8.5600000E-01  3.7488077E+04  3.7791347E+02
 8.6200000E-01  3.8433694E+04  3.8267884E+02
 8.6800000E-01  3.9111578E+04  3.8497757E+02
 8.7400000E-01  3.9911010E+04  3.9083774E+02
 8.8000000E-01  4.0562205E+04  3.9103469E+02
 8.8600000E-01  4.1944788E+04  3.9927936E+02
 8.9200000E-01  4.2585817E+04  4.0197289E+02
 8.9800000E-01  4.3492378E+04  4.0582920E+02
 9.0400000E-01  4.4385414E+04  4.1139617E+02
 9.1000000E-01  4.5114465E+04  4.1270571E+02
 9.1600000E-01  4.5888211E+04  4.1756571E+02
 9.2200000E-01  4.6570603E+04  4.2091935E+02
 9.2800000E-01  4.7781211E+04  4.2544395E+02
 9.3400000E-01  4.8683888E+04  4.2806065E+02
 9.4000000E-01  4.9375069E+04  4.3188701E+02
 9.4600000E-01  5.0198158E+04  4.3524417E+02
 9.5200000E-01  5.0972338E+04  4.3744424E+02
 9.5800000E-01  5.1761475E+04  4.4288393E+02
 9.6400000E-01  5.3066924E+04  4.4661449E+02
 9.7000000E-01  5.3267449E+04  4.4847320E+02
 9.7600000E-01  5.4456724E+04  4.5405390E+02
 9.8200000E-01  5.4849535E+04  4.5602206E+02
 9.8800000E-01  5.5660208E+04  4.5743880E+02
 9.9400000E-01  5.6005696E+04  4.5983901E+02
 1.0000000E+00  5.7074558E+04  4.6525436E+02
 1.0060000E+00  5.7987636E+04  4.6820268E+02
 1.0120000E+00  5.9205737E+04  4.7197586E+02
 1.0180000E+00  5.9411958E+04  4.7579568E+02
 1.0240000E+00  6.0246605E+04  4.7628644E+02
 1.0300000E+00  6.0518683E+04  4.7911373E+02
 1.0360000E+00  6.1593572E+04  4.8529838E+02
 1.0420000E+00  6.1908349E+04  4.8561969E+02
 1.0480000E+00  6.2965756E+04  4.8816940E+02
 1.0540000E+00  6.3525218E+04  4.9230331E+02
 1.0600000E+00  6.4196473E+04  4.9353066E+02
 1.0660000E+00  6.4845528E+04  4.9539020E+02
 1.0720000E+00  6.5537400E+04  5.0203785E+02
 1.0780000E+00  6.6012284E+04  5.0225650E+02
 1.0840000E+00  6.7500435E+04  5.0461751E+02
 1.0900000E+00  6.7324584E+04  5.0461314E+02
 1.0960000E+00  6.8400356E+04  5.0922820E+02
 1.1020000E+00  6.8641011E+04  5.1082844E+02
 1.1080000E+00  6.9029526E+04  5.1459446E+02
 1.1140000E+00  7.0369992E+04  5.1762385E+02
 1.1200000E+00  7.0805348E+04  5.2008937E+02
 1.1260000E+00  7.1367263E+04  5.2128814E+02
 1.1320000E+00  7.2010064E+04  5.2234716E+02
