##NAMES=Corundum
##RRUFFID=R040096
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Sri Lanka
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale purple hexagonal prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R040096
##MEASURED CHEMISTRY=Al_2.00_O_3_
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 4.76016 b: 4.76016 c: 12.9946 alpha: 90 beta: 90 gamma: 120 volume: 254.999 crystal system: hexagonal
##FILETYPE=Processed Powder Diffraction Profile

5.000, 0.000
5.010, 5.612
5.020, 0.002
5.030, 19.215
5.040, 7.197
5.050, 18.026
5.060, 2.882
5.070, 0.248
5.080, 1.682
5.090, 6.646
5.100, 12.597
5.110, 12.539
5.120, 21.478
5.130, 12.415
5.140, 10.352
5.150, 8.290
5.160, 7.039
5.170, 11.934
5.180, 8.836
5.190, 5.744
5.200, 12.662
5.210, 6.586
5.220, 14.516
5.230, 4.450
5.240, 8.389
5.250, 9.331
5.260, 16.278
5.270, 12.227
5.280, 10.180
5.290, 17.136
5.300, 12.095
5.310, 15.056
5.320, 1.980
5.330, 10.987
5.340, 6.955
5.350, 5.926
5.360, 2.898
5.370, 20.872
5.380, 9.847
5.390, 11.824
5.400, 13.907
5.410, 3.884
5.420, 11.863
5.430, 11.852
5.440, 8.843
5.450, 6.834
5.460, 4.827
5.470, 10.823
5.480, 6.820
5.490, 8.816
5.500, 7.813
5.510, 10.810
5.520, 8.808
5.530, 16.806
5.540, 8.804
5.550, 2.802
5.560, 6.803
5.570, 4.806
5.580, 7.809
5.590, 7.813
5.600, 15.821
5.610, 15.832
5.620, 15.840
5.630, 10.847
5.640, 6.854
5.650, 5.860
5.660, 13.867
5.670, 10.873
5.680, 5.880
5.690, 7.887
5.700, 18.895
5.710, 13.903
5.720, 8.911
5.730, 19.919
5.740, 6.928
5.750, 5.936
5.760, 9.944
5.770, 4.951
5.780, 23.959
5.790, 1.033
5.800, 7.975
5.810, 5.983
5.820, 4.991
5.830, 7.000
5.840, 13.015
5.850, 10.445
5.860, 11.453
5.870, 13.458
5.880, 10.463
5.890, 15.469
5.900, 10.475
5.910, 11.481
5.920, 14.623
5.930, 20.678
5.940, 13.684
5.950, 14.690
5.960, 14.696
5.970, 7.702
5.980, 15.708
5.990, 15.714
6.000, 1.721
6.010, 6.727
6.020, 5.734
6.030, 16.741
6.040, 9.748
6.050, 5.755
6.060, 16.763
6.070, 7.771
6.080, 0.779
6.090, 11.787
6.100, 13.796
6.110, 6.875
6.120, 8.016
6.130, 18.023
6.140, 17.031
6.150, 5.038
6.160, 10.046
6.170, 6.169
6.180, 5.177
6.190, 4.356
6.200, 11.390
6.210, 0.401
6.220, 5.389
6.230, 4.398
6.240, 5.403
6.250, 2.409
6.260, 10.416
6.270, 11.392
6.280, 8.397
6.290, 6.406
6.300, 6.415
6.310, 6.425
6.320, 5.435
6.330, 1.446
6.340, 8.457
6.350, 2.469
6.360, 2.478
6.370, 6.487
6.380, 13.580
6.390, 2.590
6.400, 8.601
6.410, 3.613
6.420, 10.625
6.430, 5.638
6.440, 7.650
6.450, 2.664
6.460, 8.678
6.470, 5.693
6.480, 0.714
6.490, 16.729
6.500, 5.744
6.510, 4.760
6.520, 4.665
6.530, 8.681
6.540, 5.697
6.550, 5.714
6.560, 9.731
6.570, 6.749
6.580, 5.766
6.590, 8.784
6.600, 13.801
6.610, 0.819
6.620, 7.837
6.630, 11.855
6.640, 4.873
6.650, 12.892
6.660, 11.910
6.670, 9.929
6.680, 0.053
6.690, 4.034
6.700, 0.962
6.710, 8.056
6.720, 0.074
6.730, 8.091
6.740, 6.109
6.750, 5.128
6.760, 2.146
6.770, 3.164
6.780, 6.182
6.790, 12.201
6.800, 4.220
6.810, 4.239
6.820, 10.258
6.830, 1.723
6.840, 5.295
6.850, 0.686
6.860, 11.332
6.870, 4.351
6.880, 0.370
6.890, 7.388
6.900, 0.407
6.910, 5.426
6.920, 5.445
6.930, 3.464
6.940, 5.483
6.950, 4.502
6.960, 4.521
6.970, 4.540
6.980, 5.559
6.990, 3.543
7.000, 3.562
7.010, 4.582
7.020, 4.601
7.030, 4.620
7.040, 14.640
7.050, 2.658
7.060, 2.676
7.070, 2.694
7.080, 1.713
7.090, 8.731
7.100, 7.749
7.110, 12.768
7.120, 3.786
7.130, 0.804
7.140, 4.823
7.150, 9.851
7.160, 9.869
7.170, 0.888
7.180, 12.906
7.190, 8.924
7.200, 8.943
7.210, 1.039
7.220, 8.986
7.230, 1.005
7.240, 1.977
7.250, 5.041
7.260, 13.059
7.270, 1.083
7.280, 7.101
7.290, 7.119
7.300, 14.138
7.310, 5.156
7.320, 9.173
7.330, 1.685
7.340, 1.332
7.350, 4.349
7.360, 6.367
7.370, 2.617
7.380, 10.399
7.390, 5.415
7.400, 1.430
7.410, 8.444
7.420, 10.462
7.430, 6.477
7.440, 1.493
7.450, 9.508
7.460, 5.524
7.470, 13.599
7.480, 5.615
7.490, 5.631
7.500, 8.649
7.510, 13.665
7.520, 10.681
7.530, 12.697
7.540, 10.713
7.550, 4.845
7.560, 3.861
7.570, 1.123
7.580, 10.893
7.590, 8.908
7.600, 7.924
7.610, 2.939
7.620, 7.955
7.630, 4.971
7.640, 5.986
7.650, 2.175
7.660, 6.191
7.670, 0.206
7.680, 15.222
7.690, 10.238
7.700, 4.253
7.710, 15.269
7.720, 6.285
7.730, 11.301
7.740, 5.317
7.750, 7.333
7.760, 4.349
7.770, 8.365
7.780, 7.381
7.790, 4.397
7.800, 9.413
7.810, 3.465
7.820, 7.481
7.830, 12.497
7.840, 19.513
7.850, 11.529
7.860, 9.545
7.870, 10.561
7.880, 7.572
7.890, 0.659
7.900, 12.302
7.910, 10.317
7.920, 9.331
7.930, 1.346
7.940, 7.361
7.950, 7.377
7.960, 11.392
7.970, 10.407
7.980, 11.422
7.990, 10.524
8.000, 9.539
8.010, 7.555
8.020, 8.570
8.030, 4.481
8.040, 8.496
8.050, 2.472
8.060, 8.487
8.070, 14.502
8.080, 6.517
8.090, 11.533
8.100, 14.547
8.110, 6.563
8.120, 18.578
8.130, 4.593
8.140, 9.609
8.150, 11.625
8.160, 13.641
8.170, 5.657
8.180, 4.673
8.190, 1.688
8.200, 7.704
8.210, 12.720
8.220, 6.736
8.230, 5.753
8.240, 8.769
8.250, 19.903
8.260, 8.920
8.270, 6.936
8.280, 7.953
8.290, 10.969
8.300, 13.986
8.310, 7.052
8.320, 10.069
8.330, 7.085
8.340, 0.101
8.350, 4.118
8.360, 8.134
8.370, 3.150
8.380, 3.166
8.390, 5.182
8.400, 8.198
8.410, 0.149
8.420, 8.165
8.430, 3.180
8.440, 9.071
8.450, 4.087
8.460, 0.103
8.470, 11.160
8.480, 4.176
8.490, 6.191
8.500, 3.207
